title,Links,Average_score,number_of_comments,Feedback
Пока не сыграл в ящик,http://www.world-art.ru/cinema/cinema.php?id=19807,0,0,
Кин-дза-дза!,http://www.world-art.ru/cinema/cinema.php?id=4309,0,0,
День сурка,http://www.world-art.ru/cinema/cinema.php?id=8729,0,0,
Зверополис,http://www.world-art.ru/cinema/cinema.php?id=64092,0,0,
"Весна, лето, осень, зима... и снова весна",http://www.world-art.ru/cinema/cinema.php?id=311,0,0,
Чужие,http://www.world-art.ru/cinema/cinema.php?id=20997,0,0,
Трасса 60,http://www.world-art.ru/cinema/cinema.php?id=7615,0,0,
Вороны: Продолжение,http://www.world-art.ru/cinema/cinema.php?id=23421,0,0,
Служебный роман,http://www.world-art.ru/cinema/cinema.php?id=4482,0,0,
Изгой,http://www.world-art.ru/cinema/cinema.php?id=5129,0,0,
Звёздные войны V: Империя наносит ответный удар,http://www.world-art.ru/cinema/cinema.php?id=4107,0,0,
12 разгневанных мужчин,http://www.world-art.ru/cinema/cinema.php?id=10035,0,0,
Вороны: Начало,http://www.world-art.ru/cinema/cinema.php?id=20414,0,0,
Блеф,http://www.world-art.ru/cinema/cinema.php?id=13454,0,0,
Обыкновенное чудо,http://www.world-art.ru/cinema/cinema.php?id=10787,0,0,
Учитель на замену,http://www.world-art.ru/cinema/cinema.php?id=36797,0,0,
Знахарь,http://www.world-art.ru/cinema/cinema.php?id=192,0,0,
Балто,http://www.world-art.ru/cinema/cinema.php?id=463,0,0,
Небо любви,http://www.world-art.ru/cinema/cinema.php?id=23315,0,0,
Интервью с вампиром,http://www.world-art.ru/cinema/cinema.php?id=5105,0,0,
Сумрачный самурай,http://www.world-art.ru/cinema/cinema.php?id=3034,0,0,
Молчание ягнят,http://www.world-art.ru/cinema/cinema.php?id=9587,0,0,
Кикудзиро,http://www.world-art.ru/cinema/cinema.php?id=4052,0,0,
Суровое испытание,http://www.world-art.ru/cinema/cinema.php?id=45010,0,0,
Звёздные войны IV: Новая надежда,http://www.world-art.ru/cinema/cinema.php?id=4106,0,0,
Титаник,http://www.world-art.ru/cinema/cinema.php?id=6065,0,0,
Аладдин,http://www.world-art.ru/cinema/cinema.php?id=72003,0,0,
Заплати другому,http://www.world-art.ru/cinema/cinema.php?id=5714,0,0,
Реквием по мечте,http://www.world-art.ru/cinema/cinema.php?id=8200,0,0,
Звёздные войны VI: Возвращение джедая,http://www.world-art.ru/cinema/cinema.php?id=4108,0,0,
Вечное сияние чистого разума,http://www.world-art.ru/cinema/cinema.php?id=3729,0,0,
Класс,http://www.world-art.ru/cinema/cinema.php?id=21009,0,0,
Гран Торино,http://www.world-art.ru/cinema/cinema.php?id=21298,0,0,
Затоiчи,http://www.world-art.ru/cinema/cinema.php?id=79,0,0,
Одержимость,http://www.world-art.ru/cinema/cinema.php?id=21930,0,0,
Святые из Бундока,http://www.world-art.ru/cinema/cinema.php?id=15309,0,0,
38-я параллель,http://www.world-art.ru/cinema/cinema.php?id=312,0,0,
Гаттака,http://www.world-art.ru/cinema/cinema.php?id=5970,0,0,
Пустой дом,http://www.world-art.ru/cinema/cinema.php?id=1111,0,0,
Планета сокровищ,http://www.world-art.ru/cinema/cinema.php?id=26546,0,0,
Стальной гигант,http://www.world-art.ru/cinema/cinema.php?id=26551,0,0,
Адвокат дьявола,http://www.world-art.ru/cinema/cinema.php?id=6090,0,0,
Шоу Трумана,http://www.world-art.ru/cinema/cinema.php?id=5159,0,0,
Двенадцать стульев,http://www.world-art.ru/cinema/cinema.php?id=4284,0,0,
Хоббит: Нежданное путешествие,http://www.world-art.ru/cinema/cinema.php?id=19555,0,0,
Рапунцель: запутанная история,http://www.world-art.ru/cinema/cinema.php?id=26714,0,0,
Эквилибриум,http://www.world-art.ru/cinema/cinema.php?id=10424,0,0,
"Девушки, играющие свинг",http://www.world-art.ru/cinema/cinema.php?id=17311,0,0,
Планета Ка-Пэкс,http://www.world-art.ru/cinema/cinema.php?id=5713,0,0,
Пьяный мастер,http://www.world-art.ru/cinema/cinema.php?id=9117,0,0,
Чужой,http://www.world-art.ru/cinema/cinema.php?id=8757,0,0,
Как украсть миллион,http://www.world-art.ru/cinema/cinema.php?id=3083,0,0,
Спирит: Душа прерий,http://www.world-art.ru/cinema/cinema.php?id=26547,0,0,
Унесённые ветром,http://www.world-art.ru/cinema/cinema.php?id=12919,0,0,
Приключения Шерлока Холмса и доктора Ватсона: Король шантажа,http://www.world-art.ru/cinema/cinema.php?id=38747,0,0,
Игра,http://www.world-art.ru/cinema/cinema.php?id=5826,0,0,
Ворон,http://www.world-art.ru/cinema/cinema.php?id=37115,0,0,
Самсара,http://www.world-art.ru/cinema/cinema.php?id=47916,0,0,
Судьба человека,http://www.world-art.ru/cinema/cinema.php?id=2973,0,0,
Мост в Терабитию,http://www.world-art.ru/cinema/cinema.php?id=17472,0,0,
Призрак,http://www.world-art.ru/cinema/cinema.php?id=62986,0,0,
Три идиота,http://www.world-art.ru/cinema/cinema.php?id=37418,0,0,
Мальчик в полосатой пижаме,http://www.world-art.ru/cinema/cinema.php?id=23913,0,0,
Москва слезам не верит,http://www.world-art.ru/cinema/cinema.php?id=10000,0,0,
Хористы,http://www.world-art.ru/cinema/cinema.php?id=3866,0,0,
Нечто,http://www.world-art.ru/cinema/cinema.php?id=30554,0,0,
Лицо со шрамом,http://www.world-art.ru/cinema/cinema.php?id=22550,0,0,
Атлантида: Затерянный мир,http://www.world-art.ru/cinema/cinema.php?id=26548,0,0,
Искусственный разум,http://www.world-art.ru/cinema/cinema.php?id=4281,0,0,
Догвилль,http://www.world-art.ru/cinema/cinema.php?id=256,0,0,
Страсти по Андрею,http://www.world-art.ru/cinema/cinema.php?id=4705,0,0,
Красота по-американски,http://www.world-art.ru/cinema/cinema.php?id=5717,0,0,
Мертвец,http://www.world-art.ru/cinema/cinema.php?id=5436,0,0,
Фейерверк,http://www.world-art.ru/cinema/cinema.php?id=109,0,0,
Спасти рядового Райана,http://www.world-art.ru/cinema/cinema.php?id=4623,0,0,
Всегда говори Да,http://www.world-art.ru/cinema/cinema.php?id=21024,0,0,
Формула любви,http://www.world-art.ru/cinema/cinema.php?id=5544,0,0,
Аватар,http://www.world-art.ru/cinema/cinema.php?id=21645,0,0,
Белый Бим Чёрное ухо,http://www.world-art.ru/cinema/cinema.php?id=10761,0,0,
Интерстеллар,http://www.world-art.ru/cinema/cinema.php?id=36765,0,0,
Босиком по мостовой,http://www.world-art.ru/cinema/cinema.php?id=6189,0,0,
Крёстный отец: Часть вторая,http://www.world-art.ru/cinema/cinema.php?id=5694,0,0,
Пётр Первый. Первая серия,http://www.world-art.ru/cinema/cinema.php?id=15182,0,0,
Парадайз Кисс,http://www.world-art.ru/cinema/cinema.php?id=31011,0,0,
Мемуары гейши,http://www.world-art.ru/cinema/cinema.php?id=10912,0,0,
Куклы,http://www.world-art.ru/cinema/cinema.php?id=40,0,0,
Двухсотлетний человек,http://www.world-art.ru/cinema/cinema.php?id=4280,0,0,
Последний самурай,http://www.world-art.ru/cinema/cinema.php?id=113,0,0,
Доспехи бога,http://www.world-art.ru/cinema/cinema.php?id=9077,0,0,
Человек-слон,http://www.world-art.ru/cinema/cinema.php?id=7431,0,0,
Лабиринт,http://www.world-art.ru/cinema/cinema.php?id=8213,0,0,
Огни большого города,http://www.world-art.ru/cinema/cinema.php?id=6177,0,0,
Город Бога,http://www.world-art.ru/cinema/cinema.php?id=4975,0,0,
Остров,http://www.world-art.ru/cinema/cinema.php?id=18183,0,0,
Апокалипсис сегодня,http://www.world-art.ru/cinema/cinema.php?id=6255,0,0,
Ловушка для кошек,http://www.world-art.ru/cinema/cinema.php?id=28704,0,0,
Однажды в Америке,http://www.world-art.ru/cinema/cinema.php?id=5690,0,0,
Король и шут,http://www.world-art.ru/cinema/cinema.php?id=19691,0,0,
Брошенный кролик,http://www.world-art.ru/cinema/cinema.php?id=37575,0,0,
Бяккотай,http://www.world-art.ru/cinema/cinema.php?id=19524,0,0,
Новое обличье императора,http://www.world-art.ru/cinema/cinema.php?id=532,0,0,
Брат,http://www.world-art.ru/cinema/cinema.php?id=4059,0,0,
Волшебная страна,http://www.world-art.ru/cinema/cinema.php?id=3854,0,0,
Царство грёз и безумия,http://www.world-art.ru/cinema/cinema.php?id=59428,0,0,
